lawsuit_number,decision_type,judicial_secrecy,rapporteur,judging_body,district,judgment_date,publication_source_date,full_text
0000894-07.2026.8.16.0078,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"25.
0000894-07.2026.8.16.0078
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000894-07.2026.8.16.0078


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 21/07/2026
Segredo de Justiça"
0085783-31.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"26.
0085783-31.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0085783-31.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 20/07/2026"
0000088-54.2026.8.16.0083,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"27.
0000088-54.2026.8.16.0083
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000088-54.2026.8.16.0083


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 20/07/2026"
0113985-52.2025.8.16.0000,Acórdão,Not informed,Priscilla Placha Sá,2ª Câmara Criminal,Not informed,No date,No date,"28.
0113985-52.2025.8.16.0000
 (Acórdão)

Relator:  Priscilla Placha Sá
Desembargadora

Processo:
0113985-52.2025.8.16.0000


Órgão Julgador: 2ª Câmara Criminal
Data Julgamento: 20/07/2026"
0087273-88.2026.8.16.0000,Acórdão,Not informed,Márcio José Tokars,6ª Câmara Criminal,Not informed,No date,No date,"29.
0087273-88.2026.8.16.0000
 (Acórdão)

Relator:  Márcio José Tokars
Desembargador

Processo:
0087273-88.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026"
0082549-41.2026.8.16.0000,Acórdão,Not informed,Márcio José Tokars,6ª Câmara Criminal,Not informed,No date,No date,"30.
0082549-41.2026.8.16.0000
 (Acórdão)

Relator:  Márcio José Tokars
Desembargador

Processo:
0082549-41.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0089569-83.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"31.
0089569-83.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0089569-83.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 20/07/2026
Segredo de Justiça"
0090655-89.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal,Not informed,No date,No date,"32.
0090655-89.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0090655-89.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0090663-66.2026.8.16.0000,Acórdão,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"33.
0090663-66.2026.8.16.0000
 (Acórdão)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0090663-66.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0052139-97.2026.8.16.0000,Acórdão,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"34.
0052139-97.2026.8.16.0000
 (Acórdão)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0052139-97.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0006631-71.2026.8.16.0019,Acórdão,Not informed,Adalberto Jorge Xisto Pereira,1ª Câmara Criminal,Not informed,No date,No date,"35.
0006631-71.2026.8.16.0019
 (Acórdão)

Relator:  Adalberto Jorge Xisto Pereira
Desembargador

Processo:
0006631-71.2026.8.16.0019


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 18/07/2026
Segredo de Justiça"
0000740-13.2020.8.16.0138,Acórdão,Not informed,substituto jose orlando cerqueira bremer,2ª Câmara Cível,Not informed,No date,No date,"36.
0000740-13.2020.8.16.0138
 (Acórdão)

Relator:  substituto jose orlando cerqueira bremer

Processo:
0000740-13.2020.8.16.0138


Órgão Julgador: 2ª Câmara Cível
Data Julgamento: 17/07/2026"
0003250-19.2024.8.16.0086,Acórdão,Not informed,Renato Naves Barcellos,5ª Câmara Criminal,Not informed,No date,No date,"37.
0003250-19.2024.8.16.0086
 (Acórdão)

Relator:  Renato Naves Barcellos
Desembargador

Processo:
0003250-19.2024.8.16.0086


Órgão Julgador: 5ª Câmara Criminal
Data Julgamento: 16/07/2026
Segredo de Justiça"
0000920-51.2026.8.16.0192,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"38.
0000920-51.2026.8.16.0192
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000920-51.2026.8.16.0192


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 16/07/2026
Segredo de Justiça"
0000401-06.2026.8.16.0183,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"39.
0000401-06.2026.8.16.0183
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0000401-06.2026.8.16.0183


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 16/07/2026
Segredo de Justiça"
0079358-85.2026.8.16.0000,Decisão monocrática,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"40.
0079358-85.2026.8.16.0000
 (Decisão monocrática)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
0079358-85.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 15/07/2026
Segredo de Justiça"
0095072-85.2026.8.16.0000,Decisão monocrática,Not informed,Marco Antonio Antoniassi,10ª Câmara Cível,Not informed,No date,No date,"41.
0095072-85.2026.8.16.0000
 (Decisão monocrática)

Relator:  Marco Antonio Antoniassi
Desembargador

Processo:
0095072-85.2026.8.16.0000


Órgão Julgador: 10ª Câmara Cível
Data Julgamento: 15/07/2026
Segredo de Justiça"
4003490-68.2026.8.16.4321,Decisão monocrática,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"42.
4003490-68.2026.8.16.4321
 (Decisão monocrática)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
4003490-68.2026.8.16.4321


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 15/07/2026"
0003707-87.2021.8.16.0011,Decisão monocrática,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"43.
0003707-87.2021.8.16.0011
 (Decisão monocrática)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0003707-87.2021.8.16.0011


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 14/07/2026
Segredo de Justiça"
0081501-47.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"44.
0081501-47.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0081501-47.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 13/07/2026
Segredo de Justiça"
0070849-68.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal,Not informed,No date,No date,"45.
0070849-68.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0070849-68.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 13/07/2026
Segredo de Justiça"
0000896-65.2025.8.16.0157,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"1.
0000896-65.2025.8.16.0157
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0000896-65.2025.8.16.0157


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0078205-17.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"2.
0078205-17.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0078205-17.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 27/07/2026"
0007515-60.2023.8.16.0131,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"3.
0007515-60.2023.8.16.0131
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0007515-60.2023.8.16.0131


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0010645-47.2024.8.16.0188,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"4.
0010645-47.2024.8.16.0188
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0010645-47.2024.8.16.0188


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"1. Caso: Barbosa de Souza e Outros Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 07/09/2021
i"
0043004-61.2026.8.16.0000,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"5.
0043004-61.2026.8.16.0000
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0043004-61.2026.8.16.0000


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000945-87.2023.8.16.0186,Acórdão,Not informed,substituta maria fernanda scheidemantel nogara ferreira da costa,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"6.
0000945-87.2023.8.16.0186
 (Acórdão)

Relator:  substituta maria fernanda scheidemantel nogara ferreira da costa

Processo:
0000945-87.2023.8.16.0186


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 27/07/2026
Segredo de Justiça"
0042130-20.2025.8.16.0030,Acórdão,Not informed,jose candido sobrinho,12ª Câmara Cível,Not informed,No date,No date,"7.
0042130-20.2025.8.16.0030
 (Acórdão)

Relator:  jose candido sobrinho

Processo:
0042130-20.2025.8.16.0030


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0002809-16.2024.8.16.0061,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"8.
0002809-16.2024.8.16.0061
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0002809-16.2024.8.16.0061


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"2. Caso: Favela Nova Brasília Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 16/02/2017
i"
0002033-47.2026.8.16.0028,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"9.
0002033-47.2026.8.16.0028
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0002033-47.2026.8.16.0028


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0000327-79.2026.8.16.0173,Acórdão,Not informed,Sérgio Luiz Kreuz,12ª Câmara Cível,Not informed,No date,No date,"10.
0000327-79.2026.8.16.0173
 (Acórdão)

Relator:  Sérgio Luiz Kreuz
Desembargador

Processo:
0000327-79.2026.8.16.0173


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0001271-91.2026.8.16.0105,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"11.
0001271-91.2026.8.16.0105
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0001271-91.2026.8.16.0105


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
0000202-45.2023.8.16.0132,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"12.
0000202-45.2023.8.16.0132
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0000202-45.2023.8.16.0132


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"3. Caso: Veliz Franco e Outros Vs. Guatemala (Sentença da Corte IDH)

Data Julgamento: 19/05/2014
i"
0002619-50.2024.8.16.0159,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"13.
0002619-50.2024.8.16.0159
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0002619-50.2024.8.16.0159


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
0013153-83.2023.8.16.0031,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"14.
0013153-83.2023.8.16.0031
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0013153-83.2023.8.16.0031


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
0001028-32.2017.8.16.0116,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"15.
0001028-32.2017.8.16.0116
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0001028-32.2017.8.16.0116


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026"
0002256-73.2018.8.16.0062,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"16.
0002256-73.2018.8.16.0062
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0002256-73.2018.8.16.0062


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"4. Caso: Fernández Ortega e Outros Vs. México (Sentença da Corte IDH)

Data Julgamento: 30/08/2010
i"
0003574-18.2024.8.16.0083,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"17.
0003574-18.2024.8.16.0083
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0003574-18.2024.8.16.0083


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
0019704-96.2024.8.16.0014,Acórdão,Not informed,rotoli de macedo,1ª Câmara Criminal,Not informed,No date,No date,"18.
0019704-96.2024.8.16.0014
 (Acórdão)

Relator:  rotoli de macedo

Processo:
0019704-96.2024.8.16.0014


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 26/07/2026
Segredo de Justiça"
0100849-51.2026.8.16.0000,Decisão monocrática,Not informed,,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"19.
0100849-51.2026.8.16.0000
 (Decisão monocrática)

Relator:  Desembargadora Substituta Andréa Fabiane Groth Busato

Processo:
0100849-51.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 25/07/2026
Segredo de Justiça"
0002480-20.2026.8.16.0033,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"20.
0002480-20.2026.8.16.0033
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0002480-20.2026.8.16.0033


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 24/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"5. Caso: González e Outras (“Campo Algodoeiro”) Vs. México (Sentença da Corte IDH)

Data Julgamento: 16/11/2009
i"
0001800-52.2026.8.16.0189,Acórdão,Not informed,Mauro Bley Pereira Junior,1ª Câmara Criminal,Not informed,No date,No date,"21.
0001800-52.2026.8.16.0189
 (Acórdão)

Relator:  Mauro Bley Pereira Junior
Juiz de Direito Substituto em Segundo Grau

Processo:
0001800-52.2026.8.16.0189


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 23/07/2026
Segredo de Justiça"
0000047-75.2024.8.16.0045,Acórdão,Not informed,Carvilio da Silveira Filho,4ª Câmara Criminal,Not informed,No date,No date,"22.
0000047-75.2024.8.16.0045
 (Acórdão)

Relator:  Carvilio da Silveira Filho
Desembargador

Processo:
0000047-75.2024.8.16.0045


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 23/07/2026
Segredo de Justiça"
0002838-66.2024.8.16.0158,Acórdão,Not informed,jose candido sobrinho,12ª Câmara Cível,Not informed,No date,No date,"23.
0002838-66.2024.8.16.0158
 (Acórdão)

Relator:  jose candido sobrinho

Processo:
0002838-66.2024.8.16.0158


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 22/07/2026
Segredo de Justiça"
0006322-49.2025.8.16.0160,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"24.
0006322-49.2025.8.16.0160
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0006322-49.2025.8.16.0160


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 22/07/2026
Segredo de Justiça"
0000894-07.2026.8.16.0078,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"25.
0000894-07.2026.8.16.0078
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000894-07.2026.8.16.0078


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 21/07/2026
Segredo de Justiça"
0085783-31.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"26.
0085783-31.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0085783-31.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 20/07/2026"
0000088-54.2026.8.16.0083,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"27.
0000088-54.2026.8.16.0083
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000088-54.2026.8.16.0083


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 20/07/2026"
0113985-52.2025.8.16.0000,Acórdão,Not informed,Priscilla Placha Sá,2ª Câmara Criminal,Not informed,No date,No date,"28.
0113985-52.2025.8.16.0000
 (Acórdão)

Relator:  Priscilla Placha Sá
Desembargadora

Processo:
0113985-52.2025.8.16.0000


Órgão Julgador: 2ª Câmara Criminal
Data Julgamento: 20/07/2026"
0087273-88.2026.8.16.0000,Acórdão,Not informed,Márcio José Tokars,6ª Câmara Criminal,Not informed,No date,No date,"29.
0087273-88.2026.8.16.0000
 (Acórdão)

Relator:  Márcio José Tokars
Desembargador

Processo:
0087273-88.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026"
0082549-41.2026.8.16.0000,Acórdão,Not informed,Márcio José Tokars,6ª Câmara Criminal,Not informed,No date,No date,"30.
0082549-41.2026.8.16.0000
 (Acórdão)

Relator:  Márcio José Tokars
Desembargador

Processo:
0082549-41.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0089569-83.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"31.
0089569-83.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0089569-83.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 20/07/2026
Segredo de Justiça"
0090655-89.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal,Not informed,No date,No date,"32.
0090655-89.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0090655-89.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0090663-66.2026.8.16.0000,Acórdão,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"33.
0090663-66.2026.8.16.0000
 (Acórdão)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0090663-66.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0052139-97.2026.8.16.0000,Acórdão,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"34.
0052139-97.2026.8.16.0000
 (Acórdão)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0052139-97.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 20/07/2026
Segredo de Justiça"
0006631-71.2026.8.16.0019,Acórdão,Not informed,Adalberto Jorge Xisto Pereira,1ª Câmara Criminal,Not informed,No date,No date,"35.
0006631-71.2026.8.16.0019
 (Acórdão)

Relator:  Adalberto Jorge Xisto Pereira
Desembargador

Processo:
0006631-71.2026.8.16.0019


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 18/07/2026
Segredo de Justiça"
0000740-13.2020.8.16.0138,Acórdão,Not informed,substituto jose orlando cerqueira bremer,2ª Câmara Cível,Not informed,No date,No date,"36.
0000740-13.2020.8.16.0138
 (Acórdão)

Relator:  substituto jose orlando cerqueira bremer

Processo:
0000740-13.2020.8.16.0138


Órgão Julgador: 2ª Câmara Cível
Data Julgamento: 17/07/2026"
0003250-19.2024.8.16.0086,Acórdão,Not informed,Renato Naves Barcellos,5ª Câmara Criminal,Not informed,No date,No date,"37.
0003250-19.2024.8.16.0086
 (Acórdão)

Relator:  Renato Naves Barcellos
Desembargador

Processo:
0003250-19.2024.8.16.0086


Órgão Julgador: 5ª Câmara Criminal
Data Julgamento: 16/07/2026
Segredo de Justiça"
0000920-51.2026.8.16.0192,Decisão monocrática,Not informed,Hayton Lee Swain Filho,1ª Vice-Presidência,Not informed,No date,No date,"38.
0000920-51.2026.8.16.0192
 (Decisão monocrática)

Relator:  Hayton Lee Swain Filho
Desembargador

Processo:
0000920-51.2026.8.16.0192


Órgão Julgador: 1ª Vice-Presidência
Data Julgamento: 16/07/2026
Segredo de Justiça"
0000401-06.2026.8.16.0183,Acórdão,Not informed,substituto sergio luiz patitucci,1ª Câmara Criminal,Not informed,No date,No date,"39.
0000401-06.2026.8.16.0183
 (Acórdão)

Relator:  substituto sergio luiz patitucci

Processo:
0000401-06.2026.8.16.0183


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 16/07/2026
Segredo de Justiça"
0079358-85.2026.8.16.0000,Decisão monocrática,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"40.
0079358-85.2026.8.16.0000
 (Decisão monocrática)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
0079358-85.2026.8.16.0000


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 15/07/2026
Segredo de Justiça"
0095072-85.2026.8.16.0000,Decisão monocrática,Not informed,Marco Antonio Antoniassi,10ª Câmara Cível,Not informed,No date,No date,"41.
0095072-85.2026.8.16.0000
 (Decisão monocrática)

Relator:  Marco Antonio Antoniassi
Desembargador

Processo:
0095072-85.2026.8.16.0000


Órgão Julgador: 10ª Câmara Cível
Data Julgamento: 15/07/2026
Segredo de Justiça"
4003490-68.2026.8.16.4321,Decisão monocrática,Not informed,Miguel Kfouri Neto,1ª Câmara Criminal,Not informed,No date,No date,"42.
4003490-68.2026.8.16.4321
 (Decisão monocrática)

Relator:  Miguel Kfouri Neto
Desembargador

Processo:
4003490-68.2026.8.16.4321


Órgão Julgador: 1ª Câmara Criminal
Data Julgamento: 15/07/2026"
0003707-87.2021.8.16.0011,Decisão monocrática,Not informed,Mario Nini Azzolini,6ª Câmara Criminal,Not informed,No date,No date,"43.
0003707-87.2021.8.16.0011
 (Decisão monocrática)

Relator:  Mario Nini Azzolini
Desembargador

Processo:
0003707-87.2021.8.16.0011


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 14/07/2026
Segredo de Justiça"
0081501-47.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal - Núcleo de Atuação,Not informed,No date,No date,"44.
0081501-47.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0081501-47.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal - Núcleo de Atuação
Data Julgamento: 13/07/2026
Segredo de Justiça"
0070849-68.2026.8.16.0000,Acórdão,Not informed,substituta andrea fabiane groth busato,6ª Câmara Criminal,Not informed,No date,No date,"45.
0070849-68.2026.8.16.0000
 (Acórdão)

Relator:  substituta andrea fabiane groth busato

Processo:
0070849-68.2026.8.16.0000


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 13/07/2026
Segredo de Justiça"
0000896-65.2025.8.16.0157,Acórdão,Not informed,Fabiane Pieruccini,6ª Câmara Criminal,Not informed,No date,No date,"1.
0000896-65.2025.8.16.0157
 (Acórdão)

Relator:  Fabiane Pieruccini
Desembargadora

Processo:
0000896-65.2025.8.16.0157


Órgão Julgador: 6ª Câmara Criminal
Data Julgamento: 27/07/2026
Segredo de Justiça"
0078205-17.2026.8.16.0000,Acórdão,Not informed,Lourival Pedro Chemim,4ª Câmara Criminal,Not informed,No date,No date,"2.
0078205-17.2026.8.16.0000
 (Acórdão)

Relator:  Lourival Pedro Chemim
Juiz de Direito Substituto em Segundo Grau

Processo:
0078205-17.2026.8.16.0000


Órgão Julgador: 4ª Câmara Criminal
Data Julgamento: 27/07/2026"
0007515-60.2023.8.16.0131,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"3.
0007515-60.2023.8.16.0131
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0007515-60.2023.8.16.0131


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
0010645-47.2024.8.16.0188,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"4.
0010645-47.2024.8.16.0188
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0010645-47.2024.8.16.0188


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
Not found,Not informed,Not informed,Not informed,Not informed,Not informed,No date,No date,"1. Caso: Barbosa de Souza e Outros Vs. Brasil (Sentença da Corte IDH)

Data Julgamento: 07/09/2021
i"
0043004-61.2026.8.16.0000,Acórdão,Not informed,Eduardo Augusto Salomão Cambi,12ª Câmara Cível,Not informed,No date,No date,"5.
0043004-61.2026.8.16.0000
 (Acórdão)

Relator:  Eduardo Augusto Salomão Cambi
Desembargador

Processo:
0043004-61.2026.8.16.0000


Órgão Julgador: 12ª Câmara Cível
Data Julgamento: 27/07/2026
Segredo de Justiça"
